num_est,nom_est,longitud,latitud,long_est,ancho_est,area_est,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,cod_nodo,cap_biart,num_vag,UPLCODIGO,geometry
7103,AV. Chile,-74.07457455,4.66635264,173.64,4.0,694.56,4,KR 30 - CL 72,2,0,0,2,7103,120,3,UPZ22,POINT (-74.07457455 4.66635264)
6103,CAN,-74.09904645,4.64687639,96.48,3.0,289.44,4,KR 60,1,0,0,1,6103,120,2,UPZ104,POINT (-74.09904645 4.64687639)
7106,Campín - UAN,-74.07871009,4.64539756,122.82,4.0,491.28,4,KR 30 - CL 53,2,0,0,2,7106,120,2,UPZ100,POINT (-74.07871009 4.64539756)
10008,San Diego,-74.07150007,4.61089909,348.09,4.0,1392.36,4,KR 10 - CL 23,2,1,1,0,10008,144,2,UPZ93,POINT (-74.07150007 4.61089909)
4100,Granja - Kr 77,-74.09601773,4.69915096,385.0,4.0,1540.0,2,KR 77 Bis,2,1,0,1,4100,144,4,UPZ30,POINT (-74.09601773 4.69915096)
7111,Ricaurte - NQS,-74.09386595,4.61168378,187.96,5.3,996.188,3,KR 30 - CL 10,2,0,1,1,7111,168,3,UPZ108,POINT (-74.09386595 4.61168378)
4001,Quirigua,-74.10873932,4.70672525,45.75,4.0,183.0,4,KR 94,1,0,0,1,4001,72,1,UPZ30,POINT (-74.10873932 4.70672525)
3011,Suba - Calle 100,-74.06444284,4.68696834,89.39,4.0,357.56,4,AV Suba - CL 100,1,1,0,0,3011,144,2,UPZ21,POINT (-74.06444284 4.68696834)
7102,Calle 75 - Zona M,-74.07130492,4.67015101,115.81,4.0,463.24,4,KR 30 - CL 75A,1,0,0,1,7102,120,2,UPZ98,POINT (-74.07130492 4.67015101)
4102,AV. Boyacá,-74.08713194,4.69393268,168.15,4.0,672.6,4,TV 69 Bis,1,0,0,1,4102,144,2,UPZ26,POINT (-74.08713194 4.69393268)
9100,Calle 40 Sur,-74.12007924,4.57579415,179.92,4.0,719.68,2,CL 38 Sur - CL 40 Sur,2,2,0,0,9100,168,3,UPZ53,POINT (-74.12007924 4.57579415)
5102,AV. Américas - AV. Boyacá,-74.13422457,4.6301178,115.715,3.0,347.145,4,AV Americas - KR 71,1,0,0,1,5102,120,2,UPZ44,POINT (-74.13422457 4.6301178)
5103,Marsella,-74.13016385,4.62967723,173.715,3.0,521.145,4,AV Americas - KR 69C,1,0,0,1,5103,120,3,UPZ44,POINT (-74.13016385 4.62967723)
3006,Niza - Calle 127,-74.0723072,4.71200123,93.56,4.0,374.24,4,AV Suba - CL 127,2,2,0,0,3006,72,2,UPZ24,POINT (-74.0723072 4.71200123)
3001,La Campiña,-74.09120046,4.74265433,89.31,4.0,357.24,4,AV Suba - KR 98A,1,1,0,0,3001,144,3,UPZ28,POINT (-74.09120046 4.74265433)
5005,Transversal 86,-74.15206784,4.63419465,115.71,3.0,347.13,4,AV Americas - TV 86,1,0,0,1,5005,96,2,UPZ46,POINT (-74.15206784 4.63419465)
6106,Corferias,-74.08970085,4.63430649,106.07,4.0,424.28,4,KR 43,1,1,0,0,6106,120,2,UPZ104,POINT (-74.08970085 4.63430649)
7201,Guatoque - Veraguas,-74.09493313,4.60417101,103.8,4.0,415.2,4,KR 27,1,1,0,0,7201,108,2,UPZ102,POINT (-74.09493313 4.60417101)
12002,CDS - Carrera 32,-74.09394954,4.61613616,96.43,4.0,385.72,4,AV Americas - KR 32,2,2,0,0,12002,48,2,UPZ108,POINT (-74.09394954 4.61613616)
6107,Ciudad Universitaria - Lotería de Bogotá,-74.08352723,4.63087543,130.67,4.0,522.68,4,KR 34,2,1,0,1,6107,120,2,UPZ107,POINT (-74.08352723 4.63087543)
7107,Universidad Nacional,-74.07932618,4.63712105,188.03,4.43333333,833.59966667,4,KR 30 - CL 45,2,0,0,2,7107,180,3,UPZ100,POINT (-74.07932618 4.63712105)
6100,Avenida Rojas - UNISALESIANA,-74.108772,4.66194444,177.17,3.0,531.51,4,CL 26 - KR 69 D,1,0,0,1,6100,120,3,UPZ105,POINT (-74.108772 4.66194444)
9109,Tercer Milenio,-74.08383625,4.59813501,184.0,3.5,644.0,4,CL 8 - CL 6,2,2,0,0,9109,120,3,UPZ102,POINT (-74.08383625 4.59813501)
6108,Concejo de Bogotá,-74.08028966,4.62598737,122.88,4.0,491.52,4,CL 38,1,1,0,0,6108,120,2,UPZ101,POINT (-74.08028966 4.62598737)
7007,Cl38A sur - CENTRO MAYOR,-74.12375508,4.59380944,153.95,4.0,615.8,4,Autosur - KR 39A,1,0,0,1,7007,72,2,UPZ41,POINT (-74.12375508 4.59380944)
7104,7 de Agosto,-74.07768646,4.65729528,123.23,4.0,492.92,4,KR 30 - CL 63,1,0,0,1,7104,120,2,UPZ98,POINT (-74.07768646 4.65729528)
4104,AV. 68,-74.08076896,4.68610088,144.0,4.0,576.0,4,KR 68D,1,0,0,1,4104,144,2,UPZ26,POINT (-74.08076896 4.68610088)
5107,Distrito Grafiti,-74.11158411,4.62785005,115.715,3.0,347.145,4,Americas - KR 53A,1,0,0,1,5107,120,2,UPZ111,POINT (-74.11158411 4.62785005)
4108,Polo - FINCOMERCIO,-74.06433866,4.67016265,220.0,4.0,880.0,4,TV 27,1,0,0,1,4108,168,3,UPZ98,POINT (-74.06433866 4.67016265)
7200,Tygua - San José,-74.08876139,4.5997872,121.67,4.0,486.68,4,KR 18,2,2,0,0,7200,96,2,UPZ102,POINT (-74.08876139 4.5997872)
6105,Quinta Paredes,-74.09313226,4.63750353,96.49,3.0,289.47,4,KR 47,1,0,0,1,6105,120,2,UPZ109,POINT (-74.09313226 4.63750353)
6102,Salitre - El Greco,-74.10164882,4.65086482,96.48,3.0,289.44,4,KR 66,1,0,0,1,6102,120,2,UPZ104,POINT (-74.10164882 4.65086482)
12007,Zona Industrial,-74.09868611,4.62032526,96.29,4.0,385.16,4,CL 13 - KR 38,2,2,0,0,12007,48,2,UPZ108,POINT (-74.09868611 4.62032526)
7505,León XIII,-74.19313531,4.59217281,89.5,4.0,358.0,4,Soacha,1,0,0,1,7505,72,2,,POINT (-74.19313531 4.59217281)
7110,Paloquemao,-74.08955344,4.61692188,122.85,4.0,491.4,4,KR 30 - CL 19,1,0,0,1,7110,120,2,UPZ108,POINT (-74.08955344 4.61692188)
4002,Carrera 90,-74.10457027,4.70466646,142.15,4.0,568.6,4,KR 90,1,0,0,1,4002,144,2,UPZ30,POINT (-74.10457027 4.70466646)
6104,Gobernación,-74.09653771,4.64283002,96.49,3.0,289.47,4,KR 54,1,0,0,1,6104,120,2,UPZ104,POINT (-74.09653771 4.64283002)
7504,Terreros - Hospital Cardio Vascular,-74.19952261,4.5889627,89.5,4.0,358.0,4,Soacha,1,0,0,1,7504,144,3,,POINT (-74.19952261 4.5889627)
4107,Escuela Militar,-74.06980215,4.67553501,122.0,4.0,488.0,4,KR 40,1,0,0,1,4107,120,2,UPZ22,POINT (-74.06980215 4.67553501)
5101,Mandalay,-74.14129817,4.63086366,115.705,3.0,347.115,4,AV Americas KR 73,1,0,0,1,5101,96,2,UPZ46,POINT (-74.14129817 4.63086366)
4003,AV. Cali,-74.10028965,4.70248285,142.15,4.0,568.6,2,KR 86,1,0,0,1,4003,144,2,UPZ30,POINT (-74.10028965 4.70248285)
3002,Suba - TV. 91,-74.08699228,4.73893679,273.89,4.0,1095.56,4,AV Suba KR 90,2,1,0,1,3002,96,4,UPZ28,POINT (-74.08699228 4.73893679)
12003,Ricaurte - CL 13,-74.0904765,4.61301798,184.2,4.0,736.8,3,CL 13 - KR 28,2,1,1,0,12003,120,6,UPZ102,POINT (-74.0904765 4.61301798)
9104,Restrepo,-74.10142878,4.58184906,120.17,4.0,480.68,4,CL 19 Sur - AV 1 De M,2,2,0,0,9104,72,2,UPZ38,POINT (-74.10142878 4.58184906)
2201,Prado,-74.05255829,4.71455843,148.0,4.0,592.0,4,CL 128 B,1,0,0,1,2201,72,3,UPZ15,POINT (-74.05255829 4.71455843)
2502,Terminal,-74.04357255,4.76881876,48.79,3.0,146.37,4,CL 190,1,0,0,1,2502,72,1,UPZ9,POINT (-74.04357255 4.76881876)
2302,Virrey,-74.05901952,4.67599737,193.28,4.0,773.12,4,CL 90,1,0,0,1,2302,144,3,UPZ97,POINT (-74.05901952 4.67599737)
2101,Toberin - Foundever,-74.04725485,4.74618498,335.0,3.6,1206.0,4,CL 165,1,0,0,1,2101,216,5,UPZ12,POINT (-74.04725485 4.74618498)
2204,Pepe Sierra Universidad UTEL,-74.0553088,4.69812689,104.62,4.0,418.48,4,CL 116,1,0,0,1,2204,72,2,UPZ16,POINT (-74.0553088 4.69812689)
2300,Calle 100 - Marketmedios,-74.0577123,4.68394944,203.61,4.0,814.44,4,CL 97,2,0,0,2,2300,168,3,UPZ97,POINT (-74.0577123 4.68394944)
2105,Calle 142,-74.05050333,4.72685009,221.09,3.0,663.27,4,CL 142,1,0,0,1,2105,48,4,UPZ13,POINT (-74.05050333 4.72685009)
2000,Portal Norte – Unicervantes,-74.04604465,4.75462286,365.66,0.0,0.0,1,CL 173,1,0,0,1,2000,78,1,UPZ10,POINT (-74.04604465 4.75462286)
2001,Calle 187,-74.0444437,4.76333655,40.9,3.0,122.7,4,CL 184,1,0,0,1,2001,72,1,UPZ9,POINT (-74.0444437 4.76333655)
2200,Alcalá – Colegio S. Tomás Dominicos,-74.05145916,4.7211582,205.19,4.0,820.76,4,CL 137,2,0,0,2,2200,168,3,UPZ13,POINT (-74.05145916 4.7211582)
2104,Calle 146,-74.04981123,4.73089106,86.3,4.0,345.2,4,CL 146,1,0,0,1,2104,72,3,UPZ13,POINT (-74.04981123 4.73089106)
2202,Calle 127,-74.05422516,4.70463964,104.57,4.0,418.28,4,CL 127,1,0,0,1,2202,72,2,UPZ16,POINT (-74.05422516 4.70463964)
2304,Héroes - Colmena Seguros,-74.06030995,4.66813603,167.4,4.0,669.6,4,CL 80,1,0,0,1,2304,96,3,UPZ97,POINT (-74.06030995 4.66813603)
2102,Calle 161,-74.04800035,4.7419153,172.62,3.0,517.86,4,CL 160,1,0,0,1,2102,0,4,UPZ18,POINT (-74.04800035 4.7419153)
2205,Calle 106 - Maletas Explora,-74.05618243,4.6929826,209.14,3.0,627.42,4,CL 106,1,0,0,1,2205,120,4,UPZ16,POINT (-74.05618243 4.6929826)
2103,Mazurén,-74.04922624,4.73458855,172.63,3.2,552.416,4,CL 152,1,0,0,1,2103,72,5,UPZ13,POINT (-74.04922624 4.73458855)
9117,Calle 45 - American School Way,-74.06787872,4.63145241,182.54,3.5,638.89,4,CL 45 - CL 42A,2,2,0,0,9117,120,3,UPZ99,POINT (-74.06787872 4.63145241)
4105,Carrera 53,-74.07742142,4.68180475,45.75,4.0,183.0,4,KR 53,1,0,0,1,4105,72,1,UPZ21,POINT (-74.07742142 4.68180475)
7101,La Castellana,-74.06444317,4.67561116,164.3,4.0,657.2,4,KR 30 KR 24,1,0,0,1,7101,72,4,UPZ21,POINT (-74.06444317 4.67561116)
10002,AV. 1 Mayo,-74.0937094,4.57693931,217.32,4.0,869.28,2,AV 1 De Mayo Con KR 7,2,2,0,0,10002,168,3,UPZ33,POINT (-74.0937094 4.57693931)
14001,De La Sabana,-74.08189427,4.6054211,96.47,4.0,385.88,4,CL 13 - KR 16,2,2,0,0,14001,48,2,UPZ102,POINT (-74.08189427 4.6054211)
7506,La Despensa,-74.18811218,4.59459382,89.5,4.0,358.0,4,Soacha,1,0,0,1,7506,72,2,,POINT (-74.18811218 4.59459382)
9122,Calle 72 - Areandina,-74.06206786,4.65823755,183.63,4.0,734.52,4,CL 72 - CL 70A,2,2,0,0,9122,0,3,UPZ97,POINT (-74.06206786 4.65823755)
6109,Centro Memoria,-74.07632059,4.62046499,130.01,4.0,520.04,4,KR 20,2,2,0,0,6109,120,2,UPZ101,POINT (-74.07632059 4.62046499)
12001,Carrera 43 - Comapan,-74.10143788,4.62278154,96.45,4.0,385.8,4,AV Americas - KR 43,2,2,0,0,12001,48,2,UPZ108,POINT (-74.10143788 4.62278154)
9002,Consuelo,-74.12387433,4.5602273,81.57,4.0,326.28,4,KR 11A - KR 10C,1,1,0,0,9002,72,2,UPZ54,POINT (-74.12387433 4.5602273)
9110,Temporal AV. Jiménez - Inter Eléctricas,-74.08040995,4.60286688,180.33,3.5,631.155,3,CL 13 - CL 11,2,1,1,0,9110,96,3,UPZ93,POINT (-74.08040995 4.60286688)
7112,Comuneros,-74.09986137,4.60424998,130.16,4.0,520.64,4,KR 30 - CL 6A,2,1,0,1,7112,108,2,UPZ40,POINT (-74.09986137 4.60424998)
6101,El Tiempo – Cámara de Comercio de Bogotá,-74.10564666,4.65706705,96.48,3.0,289.44,4,KR 68D,1,0,0,1,6101,120,2,UPZ105,POINT (-74.10564666 4.65706705)
5002,Biblioteca Tintal,-74.15935249,4.63790778,199.2,4.5,896.4,4,AV Cali - CL 26 Sur,2,2,0,0,5002,144,2,UPZ82,POINT (-74.15935249 4.63790778)
10003,Ciudad Jardín - UAN,-74.0903516,4.58154254,108.28,4.0,433.12,4,KR 10 - CL 12 Sur,1,1,0,0,10003,120,2,UPZ35,POINT (-74.0903516 4.58154254)
10005,Bicentenario,-74.08183542,4.59402077,183.26,4.0,733.04,2,KR 10 - CL 5,1,0,0,1,10005,168,3,UPZ95,POINT (-74.08183542 4.59402077)
9119,Temporal Calle 57,-74.06582826,4.64298162,150.39,3.5,526.365,4,CL 57 - CL 54,2,2,0,0,9119,120,2,UPZ99,POINT (-74.06582826 4.64298162)
8002,Biblioteca,-74.13038868,4.57030352,45.68,0.0,0.0,4,CL 48A Sur,1,1,0,0,8002,24,1,UPZ42,POINT (-74.13038868 4.57030352)
7108,AV. ElDorado,-74.07987857,4.63066841,48.1,4.0,192.4,4,KR 30 AV 28,1,0,0,1,7108,120,2,UPZ107,POINT (-74.07987857 4.63066841)
9114,Calle 26 - Atrio,-74.07215846,4.61665155,182.52,3.5,638.82,4,AV Calle 28 - CL 2,2,2,0,0,9114,0,3,UPZ91,POINT (-74.07215846 4.61665155)
7005,Alquería,-74.13426993,4.59426993,89.25,4.0,357.0,4,Autosur - KR 48,1,0,0,1,7005,72,2,UPZ41,POINT (-74.13426993 4.59426993)
7010,Bosa,-74.181225,4.59688795,126.08,4.0,504.32,4,Soacha,2,0,0,2,7010,120,2,UPZ85,POINT (-74.181225 4.59688795)
7109,CAD,-74.08418121,4.62341573,130.07,4.0,520.28,4,KR 30 - CL 26,2,0,0,2,7109,120,2,UPZ102,POINT (-74.08418121 4.62341573)
5100,Banderas,-74.14576996,4.63129454,536.19,0.0,0.0,2,AV Americas - KR 78,2,0,0,2,5100,288,4,UPZ46,POINT (-74.14576996 4.63129454)
9111,Calle 19,-74.07686968,4.60786462,182.49,3.5,638.715,4,CL 19 - CL 17,2,2,0,0,9111,120,3,UPZ102,POINT (-74.07686968 4.60786462)
14003,Temporal AV. Jiménez - Inter Eléctricas,-74.07909278,4.60305325,124.6,0.0,0.0,3,CL 13 - Caracas,1,1,0,0,14003,120,5,UPZ93,POINT (-74.07909278 4.60305325)
7105,Movistar Arena,-74.07836246,4.65003985,122.82,4.0,491.28,4,KR 30 - CL 57,1,0,0,1,7105,120,2,UPZ100,POINT (-74.07836246 4.65003985)
9123,Calle 76 - San Felipe,-74.06126126,4.66302945,182.25,3.5,637.875,4,CL 76 - CL 74,2,2,0,0,9123,120,3,UPZ97,POINT (-74.06126126 4.66302945)
9120,Calle 63,-74.06487053,4.64840397,187.6,3.5,656.6,4,CL 63 - CL 60,2,2,0,0,9120,0,3,UPZ100,POINT (-74.06487053 4.64840397)
2303,Calle 85,-74.05964363,4.67231279,216.42,4.0,865.68,4,CL 85,1,0,0,1,2303,120,4,UPZ97,POINT (-74.05964363 4.67231279)
7008,NQS - Calle 30 S,-74.11788075,4.59479847,89.62,4.0,358.48,4,Autosur - DG 26 Sur,1,1,0,0,7008,72,2,UPZ41,POINT (-74.11788075 4.59479847)
10001,Country Sur,-74.09863413,4.57141673,115.31,4.0,461.24,4,KR 10 - CL 28 Sur,2,2,0,0,10001,120,2,UPZ36,POINT (-74.09863413 4.57141673)
4106,Carrera 47,-74.07325476,4.67775575,155.0,4.0,620.0,4,KR 46,1,1,0,0,4106,144,2,UPZ22,POINT (-74.07325476 4.67775575)
4000,Portal 80,-74.11050627,4.70982949,281.77,0.0,0.0,1,KR 96,1,1,0,0,4000,55,1,UPZ72,POINT (-74.11050627 4.70982949)
9103,Olaya,-74.10736382,4.57891519,76.82,4.0,307.28,4,CL 24 Sur - CL 27 Sur,1,1,0,0,9103,120,3,UPZ36,POINT (-74.10736382 4.57891519)
9001,Molinos,-74.12182779,4.55706456,108.12,4.0,432.48,2,KR 9A,2,1,0,1,9001,144,2,UPZ54,POINT (-74.12182779 4.55706456)
9106,Nariño,-74.09392542,4.58628471,88.49,4.0,353.96,4,CL 8 Sur - CL 11 Sur,1,1,0,0,9106,48,2,UPZ38,POINT (-74.09392542 4.58628471)
3004,Gratamira,-74.07472334,4.72745584,89.35,4.0,357.4,4,AV Suba - CL 135,1,0,0,1,3004,48,2,UPZ24,POINT (-74.07472334 4.72745584)
5105,Pradera - Plaza Central,-74.11867713,4.62850646,89.61,3.0,268.83,4,AV Americas - KR 64,1,0,0,1,5105,72,2,UPZ43,POINT (-74.11867713 4.62850646)
10007,Las Nieves,-74.07432675,4.60606534,130.1,4.0,520.4,4,KR 10 - CL 18,2,2,0,0,10007,120,2,UPZ93,POINT (-74.07432675 4.60606534)
