upz_id,Estacion,anio,mes,flujo_total_mes,pct_flujo_nocturno,pct_flujo_finde,pct_flujo_pico_am,pct_flujo_pico_pm,concentracion_horaria_gini,ABRIR DOMICILIO,ACCIDENTE CEREBRO VASCULAR,ACCIDENTE DE AVIACIÓN,ACCIDENTE DE TRÁNSITO,ACCIÓN SUBVERSIVA,ACTOS CONTRA EL AMBIENTE,ALARMA,AMENAZA DE SUICIDIO,ANIMAL,ANIMAL PELIGROSO,CAÍDA DE ALTURA,COLAPSO O POSIBILIDAD DE COLAPSO,CONGESTIÓN VEHICULAR,CONVULSIÓN,DAÑOS EN PROPIEDAD PÚBLICA O PRIVADA,DAÑOS EN REDES DE SERVICIOS,DELINCUENTE CAPTURADO POR CIVIL,DELITOS INFORMÁTICOS,DISPAROS,DOLOR TORÁXICO,ELECTROCUCIÓN,ELEMENTO CAÍDO O EN PELIGRO DE CAER,EMBRIAGUEZ,ENFERMO,ESTABLECIMIENTO ILEGAL PARA EL ABORTO,EVENTO NATURAL,EVENTO RESPIRATORIO,EXHIBICIONES O ACTOS OBSCENOS,EXPLOSIÓN,EXTRAVIADO O DESAPARECIDO,FENÓMENO DE REMOCIÓN DE MASA,FUGA DE PRESOS,HABITANTE DE LA CALLE,HALLAZGO DE EXPLOSIVOS,HERIDO,HURTO EFECTUADO,HURTO EN PROCESO,INCENDIO,INCONSCIENTE O PARO CARDIORESPIRATORIO,INDEBIDO USO DE ESTABLECIMIENTO,INFORMACIÓN CONFIDENCIAL,INTENTO DE SUICIDIO,INTENTO O VIOLACIÓN DE DOMICILIO,INTOXICACIÓN,INUNDACIÓN,INVASIÓN DE TERRENO O EDIFICIO,LESIONES PERSONALES,MALTRATO,MANIFESTACIÓN O MOTÍN,MANIOBRAS PELIGROSAS,MATERIALES PELIGROSOS,MENDICIDAD,MENOR EN ESTABLECIMIENTO DE MAYORES,MUERTE NATURAL,MUERTO,NARCÓTICOS,PANDILLAS,PATOLOGÍA GINECOBSTÉTRICA,PERSONA ABANDONADA,PERSONA O VEHÍCULO SOSPECHOSO,PERSONA PIDIENDO AUXILIO,PERSONA TENDIDA EN LA VÍA,PORTE DE ARMAS,QUEMADURAS,QUEMAS,RAPTO,RECONOCIMIENTO,REMISIÓN DE DINERO O ACOMPAÑAMIENTO,RESCATE,RESTOS HUMANOS,RIÑA,RUIDO,SANGRADO VAGINAL,SECUESTRO,SOLICITUD DE APOYO O DESACATO,SUPLANTACIÓN DE PROFESIÓN U OFICIO,SÍNTOMAS GASTROINTESTINALES,TRASTORNO MENTAL,VEHÍCULO ABANDONADO,VEHÍCULO MAL ESTACIONADO,VEHÍCULO RECUPERADO,VERIFICAR SITUACIÓN,VIOLACIÓN DE MEDIDA GUBERNAMENTAL,VIOLENCIA SEXUAL
UPZ27,21 Ángeles,2023,1,126297,0.18340103090334686,0.20066193179568795,0.25523963356215906,0.23692565935849624,0.4146156150449602,4,23,0,198,0,23,23,3,98,40,6,0,5,31,15,8,30,11,11,20,0,10,37,39,0,0,40,5,0,24,0,0,23,1,27,62,86,36,53,1,12,16,8,6,0,5,51,191,1,14,9,6,0,0,4,95,0,3,17,64,13,12,5,0,5,5,2,14,2,0,539,304,3,2,6,1,25,53,17,35,0,159,0,11
UPZ27,21 Ángeles,2023,2,145050,0.1891416752843847,0.18108238538435023,0.26645294725956564,0.23646328852119958,0.42133229920716997,3,22,0,195,0,19,23,7,63,38,10,0,8,41,19,28,51,8,10,23,0,20,49,43,0,0,25,8,4,18,2,0,28,1,53,53,56,30,54,1,11,28,5,4,11,5,35,167,2,16,29,1,3,4,1,84,0,5,9,94,24,8,2,0,8,8,0,14,0,1,529,311,2,2,4,7,23,64,17,64,0,222,0,6
UPZ27,21 Ángeles,2023,3,162988,0.19297739710898962,0.1692271823692542,0.2666760743122193,0.24164355658085257,0.4223306828314559,1,15,0,173,0,21,24,9,61,34,16,0,12,32,18,36,64,17,22,16,0,26,41,31,0,0,39,8,0,21,0,1,12,0,50,60,98,7,58,4,12,39,6,15,3,7,35,168,0,12,25,5,0,10,1,84,2,3,9,94,21,6,4,0,4,5,0,13,7,0,557,316,1,3,6,3,30,59,14,45,0,220,0,10
UPZ27,21 Ángeles,2023,4,138712,0.1927735163504239,0.240599227175731,0.2554429321183459,0.237441605628929,0.41114563508083896,8,24,0,208,0,15,12,13,74,44,9,0,6,47,25,9,34,9,11,20,0,12,65,35,0,0,38,9,0,26,0,0,29,2,52,80,92,37,56,4,16,29,13,27,6,7,41,191,6,12,4,1,3,5,1,106,1,5,11,91,26,9,6,1,5,9,0,14,8,0,670,492,1,3,2,7,29,57,18,43,0,202,0,5
UPZ27,21 Ángeles,2023,5,161189,0.18874116720123582,0.18760585399748123,0.26996879439663996,0.241294381130226,0.42585231208912105,3,29,0,232,0,10,23,8,69,52,11,2,6,49,16,2,42,7,7,26,0,11,68,47,0,0,54,10,0,23,0,2,19,2,61,46,95,2,68,2,13,40,10,14,0,6,38,203,1,27,11,2,2,15,5,128,1,2,6,104,20,13,5,0,3,10,0,27,4,0,672,441,0,2,10,1,43,63,17,54,1,228,0,10
UPZ27,21 Ángeles,2023,6,147353,0.1831384498449302,0.1986590025313363,0.26463662090354456,0.24710050015948098,0.4300169773717988,1,26,0,236,0,19,12,9,45,37,25,0,9,36,14,18,23,11,16,25,0,10,57,26,0,0,40,11,0,20,1,3,6,0,53,44,88,25,45,2,4,43,6,7,0,3,52,153,4,20,27,2,0,5,1,94,1,4,10,87,13,7,6,0,9,7,0,16,11,0,622,363,0,0,12,5,31,29,16,38,4,227,0,5
UPZ27,21 Ángeles,2023,7,139299,0.18751749833092843,0.2588389004946195,0.2535983747191294,0.24702977049368624,0.4212835339808613,0,16,0,249,0,15,21,10,61,39,5,2,9,25,21,22,48,6,1,23,0,9,42,33,0,0,52,5,0,19,0,2,13,1,60,62,120,14,58,8,4,34,15,13,2,2,47,32,2,15,12,4,0,5,2,99,0,2,12,99,25,12,2,0,10,9,0,19,13,1,572,391,0,2,8,1,18,49,11,46,3,231,0,9
UPZ27,21 Ángeles,2023,8,155601,0.19904113726775535,0.18729956748349946,0.26432349406494815,0.2507695965964229,0.4275858874086071,3,15,0,197,0,28,23,3,55,27,13,0,7,14,16,15,23,6,7,11,0,17,39,32,0,0,22,8,0,19,0,2,17,1,40,60,67,6,51,1,9,32,10,11,4,9,30,126,2,11,22,3,1,4,3,94,0,4,8,78,10,10,6,0,9,6,1,16,5,1,482,313,2,1,10,1,23,41,13,52,1,187,0,10
UPZ27,21 Ángeles,2023,9,154406,0.19575016514902271,0.19326969159229562,0.2710905016644431,0.24988018600313458,0.4311884469083671,2,25,0,230,0,27,19,8,51,25,17,1,5,52,19,23,29,6,8,24,0,19,45,35,0,6,45,10,0,25,0,0,26,1,73,54,85,30,73,4,4,35,11,8,20,2,46,176,0,22,17,5,2,8,0,147,1,4,21,81,10,13,2,2,10,5,2,48,4,0,582,514,0,3,13,6,30,42,11,50,4,192,0,16
UPZ27,21 Ángeles,2023,10,152321,0.19292152756350076,0.19247510192291278,0.26938504868009006,0.24754958278897854,0.429416331300346,3,20,0,209,0,16,18,5,61,36,11,0,7,26,14,9,20,14,6,21,0,19,41,37,0,0,36,9,1,22,0,1,18,1,62,71,74,26,55,3,10,33,12,15,8,1,39,163,5,15,9,5,0,3,2,144,1,2,2,74,22,6,7,0,6,19,4,21,9,0,564,492,1,0,4,2,34,58,17,62,2,214,29,11
