No. ;Dependencia ;Norma, función o proceso;; Código del Procedimiento;" Código del
 Formato";"(Tipo documental)
Nombre del registro o documento de archivo";"(Tipo documental)
Definición";"(Tipo documental)
Idioma ";Análogo;Digital;Electrónico;Descripción del Soporte;Presentación de la información (formato);"(Tipo de origen) 
Interno";"(Tipo deorigen)
Externo";Serie; Subserie;Descripción de la categoría de información ;Pública;Clasificada;Reservada ;Custodio de la información ;Estado de la información ;Localización del documento o del activo de información ;
1;Gerencia General ;"Resolución No. 192 del 11 de Abril de 2016 ""Por la cual se modifica la Resolución 410 del 1 de julio de 2015 reorganizando el objeto, funciones, composición y reglamento del Comité de Gerencia "". ";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité;Español ;X;X;X;Papel/electronico;WORD/PDF ;X;;ACTAS;Actas de Comité de Gerencia   ;Esta subserie contiene todas las decisiones tomadas por el comité, como órgano de apoyo a la Gerencia General en la definición de estrategias y lineas de acción que garanticen el cumplimiento del objeto social y el rol  institucional de la entidad. ;X;;;Dirección Corporativa  -Profesional Gestión Documental/ Dirección de TIC ;Disponible ;Archivo de gestión Dirección Corporativa/SGDEA;
2;Gerencia General ;"Acuerdo No. 07 del 09 de Noviembre de 2017 ""Por la cual se modifica la estructura organizacional y las funciones de unas dependencias de la Empresa de Transporte del Tercer Milenio  - TRANSMILENIO S.A."" CAPÍTULO II númeral 10. Expedir los actos administrativos.  ";;N/A;N/A;"Circular
";Acto administrativo ;Español ;X;X;X;Papel/electronico;WORD/PDF ;X;;CIRCULARES;;Acto Administrativos que regula asuntos puntuales relacionados con la gestión estratégica, administrativa, financiera y técnica de la Empresa,.;X;;;Gerencia General/ Dirección Corporativa   ;Disponible ;Archivo de gestión Dirección Corporativa/ SGDEA;
3;Oficina Asesora de Planeación;"Decreto 456 de 2008  “Por el cual se reforma el Plan de Gestión Ambiental del Distrito Capital y se dictan otras disposiciones”, Decreto 815 de 2017 ""Por medio del cual se establecen los lineamientos para la formulación e implementación de los instrumentos operativos de planeación ambiental del Distrito PACA, PAL y PIGA, y se dictan otras disposiciones"".";;N/A;N/A;Plan de acción cuatrienal PACA ;" El Plan de Acción Cuatrienal Ambiental – PACA, como instrumento de planeación a corto plazo que armoniza los
objetivos de Plan de Desarrollo con los planteados en el PGA e incluye las acciones e inversiones
ambientales proyectadas para cada cuatrienio por cada una delas entidades que hacen parte del SIAC y
el Plan Institucional de Gestión Ambiental - PIGA como herramienta para integrar las acciones de gestión
orientadas al cumplimiento de los objetivos de ecoeficiencia establecidos en el PGA, principalmente.";Español ;X;X;X;Papel/electrónico ;Word/PDF ;X;;PLANES ;Planes de Acción Cuatrienal PACA;Testimonio de las actividades que se deben seguir para realizar la formulación y seguimiento de la gestión ambiental correspondiente al cuatrienio, realizada por Transmilenio S.A. en el marco del Plan de Desarrollo Distrital vigente.;X;;;Oficina Asesora de Planeación - Profesional Especializado Grado 06 - Gestión Ambiental;Disponible ;"Archivo de gestión OAP
Aplicativo Strom User (de la Secretaría de Ambiente)";
4;Oficina Asesora de Planeación;"Ley 1474 del 12 de Julio de 2011 ""Por la cual se dictan normas orientadas a fortalecer los mecanismos de prevención, investigación y sanción de actos de corrupción y la efectividad del control de la gestión pública. ";;N/A;N/A;Plan anticorrupción y atención al ciudadano;Documento de tipo preventivo para el control de la corrupción, su metodología incluye cinco componentes autónomos e independientes, que contienen parámetros y soporte normativo propio y un sexto componente que contempla iniciativas adicionales.;Español ;;;X;;Excel ;X;;PLANES ;Planes Anticorrupción y Atención al Ciudadano;Contiene el cronograma y el seguimiento de actividades que debe tener en cuenta cada área de la entidad al inicio de cada vigencia, para concretar el plan anticorrupción.;X;;;Oficina Asesora de Planeación -  Profesional Grado 4 Gestión Integral ;Disponible ;Oficina Asesora de Planeación ;
5;Oficina de Control Interno;"Resolución No. 296 de 10 de Mayo de 2018 ""Por la cual se crea el Comité Institucional de Coordinación de Control Interno de la Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A."" ";;N/A;N/A;Acta ;Documento que contiene los temas tratados, decisiones y compromisos a los cuales se llegó en el Comité ;Español ;X;X;X;Papel;WORD/PDF;X;;ACTAS;Actas de Comité Institucional de Coordinación de Control Interno;Serie documental donde se agrupaan las actas de comité junto con sus soportes. Las catas dan cuenta de las desiciones tomadas en asuntos tales como: Sistema de Control Interno, Plan Anual de Auditoría,  conflictos de interés , la política de administración del riesgo  entre otros temas.  ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa/ SGDEA;
6;Oficina de Control Interno;" Auditoria interna del SIC
  Ejecucion de Trabajos de Aseguramiento ";;"P-CI-012
P-CI-009
P-CI-009";N/A ;Informe del trabajo de auditoría;Documento el cual evidencia el informe de la aditoría, el cual es enviado a las dependencias respecto al tema auditado. ;Español ;X;X;X;Papel;WORD/PDF;X;;Informes ;Informes de auditoría de control interno;"Documentos que evidencian  las actividades realizadas en las Auditorías Internas, ya sean de evaluación internos de procesos y de proyectos especiales, trabajos de cumplimiento u otros requerimientos en el cumplimiento de funciones de las dependencias. 

";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
7;Oficina de Control Interno;Atención de  requerimientos de la Comisión de Auditoría de la Contraloría y Visitas Administrativas de los Entes de Control y/o Vigilancia;;P-CI-005;R-OP-004;Expediente de Auditoria externa ;Expediente que contiene los temas tratados, decisiones y compromisos a los  que se han llegado una vez realida la auditoria. ;Español ;X;X;X;Papel;WORD/PDF;;X;Informes ;Informes de auditoría externa;Documentos que  dan cuenta  de las visitas o auditorias realizadas las actividades realizadas para atender las visitas de los Entes de Control y Vigilancia a TRANSMILENIO S.A., y de la presentación de respuestas a las solicitudes o requerimientos realizados en el desarrollo de la visita, dentro de los plazos y las condiciones estipuladas.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
8;Oficina de Control Interno;Formulación y seguimiento al plan de mejoramiento suscrito con la Contraloría de Bogotá D.C.;;P-CI-011 ;R-CI-030;Informe de Seguimiento Plan de Mejoramiento Contraloría de Bogotá D.C.;Documento que contempla las actividades adelantas en cumplimiento de cada una de las acciones, grado de avance o justificaciones del incumplimiento de las mismas, y remitir las evidencias respectivas que soporten la información registrada.;Español ;X;X;X;Papel;WORD/PDF;X;;Informes ;Informes de Seguimiento al Plan de Mejoramiento Contraloría de Bogotá D.C.;Conjunto de documentos del seguiimiento a las actividades que se realizanpara llevar a cabo la verificación del cumplimiento de las acciones contenidas en el plan de mejoramiento consolidado a través del análisis de la información reportada y revisión de las evidencias, con el fin de determinar el avance suscrito entre TRANSMILENIO S. A. y la Contraloría de Bogotá D. C.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
9;Oficina de Control Interno;Formulación y seguimiento a planes de mejoramiento internos.;;P-CI-010;R-OP-004;Plan;Documento que registra los planes de mejoramiento presentados a Control Interno, luego de  una auditoria.;Español ;X;X;X;Papel;WORD/PDF;X;;Planes ;Planes de Mejoramiento Institucional;Documentos que reflejan  los planes de  mejoramiento planificadas por las dependencias de la entidad, surgidas de la realización de procesos de evaluación internos, contemplados en el Plan Anual de Actividades de la Oficina de Control Interno.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
10;Gerencia General ;"Acuerdo No. 07 del 09 de Noviembre de 2017 ""Por la cual se modifica la estructura organizacional y las funciones de unas dependencias de la Empresa de Transporte del Tercer Milenio  - TRANSMILENIO S.A."" CAPÍTULO II númeral 10. Expedir los actos administrativos.  ";;N/A;N/A;Resoluciones;Acto administrativo ;Español ;X;X;X;Papel/electronico;WORD/PDF ;X;;RESOLUCIONES ;;Actos administrativos de la más alta instancia decisoria de la entidad a través de los cuales se puede ver la gestión de asuntos estratégicos, misionales, de apoyo y de evaluación y control de la Empresa, orientados a garantizar el cumplimiento de su misión. ;X;;;Gerencia General/ Dirección Corporativa   ;Disponible ;Archivo de gestión Dirección Corporativa/ SGDEA;
