upz_id,upz_nombre
UPZ999,SIN LOCALIZACION
UPZ70,JERUSALEM
UPZ69,ISMAEL PERDOMO
UPZ68,EL TESORO
UPZ67,LUCERO
UPZ66,SAN FRANCISCO
UPZ65,ARBORIZADORA
UPZ64,MONTE BLANCO
UPZ63,EL MOCHUELO
UPR3,UPR RIO TUNJUELO
UPZ996,SIN UPZ RAFAEL URIBE URIBE
UPZ55,DIANA TURBAY
UPZ54,MARRUECOS
UPZ53,MARCO FIDEL SUAREZ
UPZ39,QUIROGA
UPZ36,SAN JOSE
UPZ94,LA CANDELARIA
UPZ43,SAN RAFAEL
UPZ41,MUZU
UPZ40,CIUDAD MONTES
UPZ111,PUENTE ARANDA
UPZ108,ZONA INDUSTRIAL
UPZ38,RESTREPO
UPZ35,CIUDAD JARDIN
UPZ37,SANTA ISABEL
UPZ102,LA SABANA
UPZ109,CIUDAD SALITRE ORIENTAL
UPZ107,QUINTA PAREDES
UPZ106,LA ESMERALDA
UPZ104,PARQUE SIMON BOLIVAR - CAN
UPZ101,TEUSAQUILLO
UPZ100,GALERIAS
UPZ98,LOS ALCAZARES
UPZ22,DOCE DE OCTUBRE
UPZ21,LOS ANDES
UPZ103,PARQUE SALITRE
UPZ995,SIN UPZ SUBA
UPZ71,TIBABUYES
UPZ3,GUAYMARAL
UPZ2,LA ACADEMIA
UPZ28,EL RINCON
UPZ27,SUBA
UPZ25,LA FLORESTA
UPZ24,NIZA
UPZ23,CASA BLANCA SUBA
UPZ20,LA ALHAMBRA
UPZ19,EL PRADO
UPZ18,BRITALIA
UPZ17,SAN JOSE DE BAVARIA
UPR1,UPR ZONA NORTE
UPZ74,ENGATIVA
UPZ73,GARCES NAVAS
UPZ72,BOLIVIA
UPZ31,SANTA CECILIA
UPZ30,BOYACA REAL
UPZ29,MINUTO DE DIOS
UPZ26,LAS FERIAS
UPZ116,ALAMOS
UPZ105,JARDIN BOTANICO
UPZ77,ZONA FRANCA
UPZ76,FONTIBON SAN PABLO
UPZ75,FONTIBON
UPZ117,AEROPUERTO EL DORADO
UPZ115,CAPELLANIA
UPZ114,MODELIA
UPZ112,GRANJAS DE TECHO
UPZ110,CIUDAD SALITRE OCCIDENTAL
UPZ83,LAS MARGARITAS
UPZ82,PATIO BONITO
UPZ81,GRAN BRITALIA
UPZ80,CORABASTOS
UPZ79,CALANDAIMA
UPZ78,TINTAL NORTE
UPZ48,TIMIZA
UPZ47,KENNEDY CENTRAL
UPZ46,CASTILLA
UPZ45,CARVAJAL
UPZ44,AMERICAS
UPZ113,BAVARIA
UPZ87,TINTAL SUR
UPZ86,EL PORVENIR
UPZ85,BOSA CENTRAL
UPZ84,BOSA OCCIDENTAL
UPZ49,APOGEO
UPZ62,TUNJUELITO
UPZ42,VENECIA
UPZ994,SIN UPZ USME
UPZ61,CIUDAD USME
UPZ60,PARQUE ENTRENUBES
UPZ59,ALFONSO LOPEZ
UPZ58,COMUNEROS
UPZ57,GRAN YOMASA
UPZ56,DANUBIO
UPZ52,LA FLORA
UPZ993,SIN UPZ SAN CRISTOBAL
UPZ95,LAS CRUCES
UPZ51,LOS LIBERTADORES
UPZ50,LA GLORIA
UPZ34,20 DE JULIO
UPZ33,SOSIEGO
UPZ32,SAN BLAS
UPZ992,SIN UPZ SANTA FE
UPZ96,LOURDES
UPZ93,LAS NIEVES
UPZ92,LA MACARENA
UPZ91,SAGRADO CORAZON
UPZ99,CHAPINERO
UPZ991,SIN UPZ CHAPINERO
UPZ97,CHICO LAGO
UPZ90,PARDO RUBIO
UPZ89,SAN ISIDRO - PATIOS
UPZ88,EL REFUGIO
UPZ9,VERBENAL
UPZ990,SIN UPZ USAQUEN
UPZ1,PASEO DE LOS LIBERTADORES
UPZ16,SANTA BARBARA
UPZ15,COUNTRY CLUB
UPZ14,USAQUEN
UPZ13,LOS CEDROS
UPZ12,TOBERIN
UPZ11,SAN CRISTOBAL NORTE
UPZ10,LA URIBE
UPR5,UPR RIO SUMAPAZ
UPR4,UPR RIO BLANCO
-,-
