cod_localidad,localidad,n_meses,n_upz,poblacion_media,tasa_hurto_media,tasa_violencia_media,loc_nuse_hurto_medio,dai_hurto_personas_anual,rank_tasa_hurto,rank_tasa_violencia
14.0,LOS MÁRTIRES,42,1,75382.42857142857,576.1537926521758,1515.3465184065312,434.35714285714283,4832.714285714285,1.0,1.0
12.0,BARRIOS UNIDOS,42,1,135543.0,344.8483140041374,980.4883196889122,467.3333333333333,3303.8571428571427,2.0,5.0
15.0,ANTONIO NARIÑO,42,1,77781.85714285714,343.75320840202846,1046.8657798064614,267.35714285714283,1540.5714285714287,3.0,4.0
17.0,CANDELARIA,42,1,16648.428571428572,339.8762995015189,1396.169729145568,56.57142857142857,827.4285714285714,4.0,2.0
13.0,TEUSAQUILLO,42,1,154852.14285714287,338.9444586581338,789.5351401900543,524.8571428571429,5305.142857142857,5.0,8.0
3.0,SANTA FE,42,1,112929.57142857143,327.5659301888684,1171.3861639069783,369.95238095238096,4350.428571428572,6.0,3.0
2.0,CHAPINERO,42,1,161416.7142857143,314.54486906419436,841.588154624079,507.6190476190476,6711.285714285715,7.0,6.0
16.0,PUENTE ARANDA,42,1,249512.0,241.78277109101643,777.3884115546393,603.3095238095239,3854.1428571428573,8.0,10.0
10.0,ENGATIVÁ,42,1,830709.2857142857,149.95929637637732,656.9350575761606,1245.7380952380952,7715.428571428572,9.0,15.0
9.0,FONTIBÓN,42,1,385240.0,144.28849379324507,589.5806196997446,555.8571428571429,4713.714285714285,10.0,17.0
6.0,TUNJUELITO,42,1,175542.42857142858,134.71604034389287,770.1514457577401,236.5,1411.5714285714287,11.0,11.0
18.0,RAFAEL URIBE URIBE,42,1,375185.0,130.90393830718347,788.2072487858383,491.14285714285717,2496.714285714286,12.0,9.0
4.0,SAN CRISTÓBAL,42,1,394490.28571428574,117.14149801929159,793.3639810424602,462.1190476190476,2013.5714285714287,13.0,7.0
8.0,KENNEDY,42,1,1099874.5714285714,113.80934671166006,653.1471212293968,1251.5714285714287,7689.428571428572,14.0,16.0
1.0,USAQUÉN,42,1,585683.1428571428,113.0458825434518,481.64477639291925,662.0952380952381,4848.0,15.0,19.0
11.0,SUBA,42,1,1247618.5714285714,96.28928736615683,588.2099489322421,1201.1904761904761,8407.42857142857,16.0,18.0
19.0,CIUDAD BOLÍVAR,42,1,679276.4285714285,81.63190027880492,670.088324537979,554.1666666666666,3277.0,17.0,13.0
7.0,BOSA,42,1,762135.5714285715,79.51803292988272,667.23526888032,605.7142857142857,3503.0,18.0,14.0
5.0,USME,42,1,396423.85714285716,74.74713049254686,730.5726359898674,296.1190476190476,1560.7142857142858,19.0,12.0
