upz_id,cod_localidad,localidad,anio,mes,upz_nuse_hurto,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_violencia,upz_nuse_total,poblacion_localidad,dai_total,dai_hurto_personas,ir_total,indice_seguridad_nocturna_2019
UPZ10,01,USAQUÉN,2023,1,29.0,141.0,217.0,125.0,512.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,2,39.0,130.0,204.0,141.0,514.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,3,31.0,146.0,211.0,194.0,582.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,4,32.0,171.0,203.0,185.0,591.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,5,43.0,159.0,271.0,230.0,703.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,6,33.0,183.0,197.0,157.0,570.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,7,28.0,178.0,242.0,142.0,590.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,8,26.0,127.0,198.0,129.0,480.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,9,26.0,173.0,220.0,170.0,589.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,10,38.0,191.0,212.0,168.0,609.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,11,38.0,223.0,233.0,154.0,648.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ10,01,USAQUÉN,2023,12,27.0,170.0,309.0,146.0,652.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,1,70.0,666.0,536.0,702.0,1974.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,2,88.0,664.0,647.0,678.0,2077.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,3,70.0,582.0,573.0,661.0,1886.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,4,89.0,863.0,642.0,717.0,2311.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,5,96.0,992.0,771.0,875.0,2734.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,6,72.0,830.0,607.0,694.0,2203.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,7,78.0,803.0,672.0,584.0,2137.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,8,73.0,727.0,519.0,557.0,1876.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,9,85.0,784.0,676.0,583.0,2128.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,10,66.0,744.0,667.0,755.0,2232.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,11,84.0,808.0,554.0,828.0,2274.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ9,01,USAQUÉN,2023,12,90.0,858.0,735.0,862.0,2545.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,1,84.0,400.0,402.0,259.0,1145.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,2,56.0,385.0,446.0,325.0,1212.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,3,69.0,363.0,495.0,313.0,1240.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,4,74.0,369.0,463.0,273.0,1179.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,5,84.0,438.0,484.0,353.0,1359.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,6,74.0,466.0,483.0,273.0,1296.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,7,76.0,433.0,467.0,331.0,1307.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,8,75.0,348.0,442.0,280.0,1145.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,9,74.0,450.0,512.0,285.0,1321.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,10,70.0,429.0,546.0,274.0,1319.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,11,75.0,414.0,433.0,324.0,1246.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ12,01,USAQUÉN,2023,12,79.0,565.0,560.0,375.0,1579.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ18,11,SUBA,2023,1,81.0,322.0,404.0,286.0,1093.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,2,79.0,328.0,449.0,290.0,1146.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,3,85.0,410.0,446.0,333.0,1274.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,4,92.0,443.0,417.0,314.0,1266.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,5,81.0,476.0,519.0,338.0,1414.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,6,64.0,380.0,469.0,315.0,1228.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,7,90.0,398.0,439.0,228.0,1155.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,8,61.0,302.0,448.0,238.0,1049.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,9,79.0,394.0,394.0,306.0,1173.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,10,79.0,418.0,524.0,319.0,1340.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,11,82.0,400.0,541.0,345.0,1368.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,12,78.0,447.0,539.0,360.0,1424.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ13,01,USAQUÉN,2023,1,175.0,692.0,837.0,346.0,2050.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,2,151.0,642.0,850.0,382.0,2025.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
