familia,variable,importancia_mae,sd
hurto,y_rm3,28.167691408937145,1.130411071962941
hurto,y_lag1,17.91302824760604,0.8372871687844571
hurto,dist_cai_mediana_m_lag1,0.9007282701410624,0.18782484267532087
hurto,n_estaciones_lag1,0.8993141935920295,0.12620652680998068
hurto,pct_nocturno_pond_lag1,0.5461640698978889,0.07722338116897814
hurto,gini_pond_lag1,0.43866766395198553,0.1489515984428023
hurto,log_flujo_upz_lag1,0.20782587609564374,0.05942174316140543
hurto,pct_pico_pm_pond_lag1,0.1365260470139189,0.0846030532740492
hurto,pct_finde_pond_lag1,0.12097419596776637,0.02966996122077391
hurto,pct_pico_am_pond_lag1,0.08254661548276765,0.07093019271019832
hurto,mes_sin,-0.006990157413230058,0.019781984026393775
hurto,mes_cos,-0.07582046692353961,0.06194580551298117
violencia,y_rm3,146.1980138140708,4.175495699888533
violencia,y_lag1,102.18194940659967,3.9655552168345043
violencia,dist_cai_mediana_m_lag1,15.725129472269906,0.4335425178271753
violencia,pct_nocturno_pond_lag1,11.382299030788118,1.3744676810402454
violencia,gini_pond_lag1,7.532404644168711,0.9907748223398295
violencia,log_flujo_upz_lag1,3.354704896475176,0.4058125552648569
violencia,pct_pico_am_pond_lag1,2.749755376531281,0.5807193228988556
violencia,pct_pico_pm_pond_lag1,2.5050485264549227,0.5031215423934116
violencia,pct_finde_pond_lag1,1.714608187706614,0.6961774557553934
violencia,n_estaciones_lag1,1.6335671352444523,0.34799435586766775
violencia,mes_cos,0.568395536906297,0.11144105461238675
violencia,mes_sin,-0.6191368073646579,0.13134680486408298
